#x-axis,1,2
#second,Volt,Volt
-5.45000E-03,+61.55779E-03,+600.50251E-03
-5.44000E-03,+59.04523E-03,+562.81406E-03
-5.43000E-03,+60.30151E-03,+585.42713E-03
-5.42000E-03,+40.20100E-03,+562.81406E-03
-5.41000E-03,+31.40703E-03,+562.81406E-03
-5.40000E-03,+40.20100E-03,+542.71356E-03
-5.39000E-03,+32.66332E-03,+542.71356E-03
-5.38000E-03,+40.20100E-03,+546.48241E-03
-5.37000E-03,+20.10050E-03,+562.81406E-03
-5.36000E-03,+38.94472E-03,+601.75879E-03
-5.35000E-03,+22.61307E-03,+582.91457E-03
-5.34000E-03,+25.12563E-03,+582.91457E-03
-5.33000E-03,+20.10050E-03,+582.91457E-03
-5.32000E-03,+8.79397E-03,+571.60803E-03
-5.31000E-03,+20.10050E-03,+582.91457E-03
-5.30000E-03,+3.76884E-03,+582.91457E-03
-5.29000E-03,+17.58794E-03,+543.96984E-03
-5.28000E-03,-18.84422E-03,+522.61306E-03
-5.27000E-03,+0.0E+00,+542.71356E-03
-5.26000E-03,+13.81910E-03,+542.71356E-03
-5.25000E-03,-11.30653E-03,+562.81406E-03
-5.24000E-03,+0.0E+00,+562.81406E-03
-5.23000E-03,+0.0E+00,+582.91457E-03
-5.22000E-03,-15.07538E-03,+592.96482E-03
-5.21000E-03,+17.58794E-03,+582.91457E-03
-5.20000E-03,+0.0E+00,+582.91457E-03
-5.19000E-03,-20.10050E-03,+562.81406E-03
-5.18000E-03,-13.81910E-03,+562.81406E-03
-5.17000E-03,-20.10050E-03,+542.71356E-03
-5.16000E-03,-20.10050E-03,+531.40703E-03
-5.15000E-03,-20.10050E-03,+555.27638E-03
-5.14000E-03,-35.17588E-03,+562.81406E-03
-5.13000E-03,-37.68844E-03,+595.47738E-03
-5.12000E-03,-40.20100E-03,+582.91457E-03
-5.11000E-03,-22.61307E-03,+585.42713E-03
-5.10000E-03,-54.02010E-03,+603.01507E-03
-5.09000E-03,-51.50754E-03,+574.12060E-03
-5.08000E-03,-40.20100E-03,+562.81406E-03
-5.07000E-03,-46.48241E-03,+562.81406E-03
-5.06000E-03,-55.27638E-03,+551.50753E-03
-5.05000E-03,-60.30151E-03,+542.71356E-03
-5.04000E-03,-79.14573E-03,+542.71356E-03
-5.03000E-03,-62.81407E-03,+542.71356E-03
